 ZINC000000037995,-8.1,0
 ZINC000000142576,-7.8,0
 ZINC000000081069,-7.7,0
 ZINC000000144068,-7.5,0
 ZINC000000144064,-7.4,0
 ZINC000000153735,-7.4,0
 active_6c,-7.3,1
 ZINC000000144077,-7.1,0
 active_6b,-7,1
 ZINC000000036884,-7,0
 ZINC000000079781,-7,0
 ZINC000000140499,-7,0
 ZINC000000236652,-7,0
 active_6a,-6.9,1
 ZINC000000002837,-6.9,0
 ZINC000000034477,-6.9,0
 ZINC000000077995,-6.9,0
 ZINC000000092887,-6.9,0
 ZINC000000347744,-6.9,0
 ZINC000000378126,-6.9,0
 active_7c,-6.8,1
 ZINC000000015847,-6.8,0
 ZINC000000023642,-6.8,0
 ZINC000000093205,-6.8,0
 ZINC000000176273,-6.8,0
 ZINC000000179253,-6.8,0
 ZINC000000005719,-6.7,0
 ZINC000000027973,-6.7,0
 ZINC000000207605,-6.7,0
 ZINC000000212210,-6.7,0
 ZINC000000239852,-6.7,0
 ZINC000000000259,-6.6,0
 ZINC000000038307,-6.6,0
 ZINC000000052258,-6.6,0
 ZINC000000052683,-6.6,0
 ZINC000000055272,-6.6,0
 ZINC000000082238,-6.6,0
 ZINC000000089056,-6.6,0
 ZINC000000105508,-6.6,0
 ZINC000000115850,-6.6,0
 ZINC000000141339,-6.6,0
 ZINC000000148070,-6.6,0
 ZINC000000161306,-6.6,0
 ZINC000000176321,-6.6,0
 ZINC000000195398,-6.6,0
 ZINC000000207643,-6.6,0
 ZINC000000000145,-6.5,0
 ZINC000000001623,-6.5,0
 ZINC000000002231,-6.5,0
 ZINC000000002530,-6.5,0
 ZINC000000025900,-6.5,0
 ZINC000000048024,-6.5,0
 ZINC000000058294,-6.5,0
 ZINC000000151772,-6.5,0
 ZINC000000176221,-6.5,0
 ZINC000000186289,-6.5,0
 ZINC000000255077,-6.5,0
 ZINC000000285080,-6.5,0
 ZINC000000317005,-6.5,0
 ZINC000000384609,-6.5,0
 ZINC000000000649,-6.4,0
 ZINC000000001768,-6.4,0
 ZINC000000005718,-6.4,0
 ZINC000000027593,-6.4,0
 ZINC000000048140,-6.4,0
 ZINC000000048970,-6.4,0
 ZINC000000052257,-6.4,0
 ZINC000000056794,-6.4,0
 ZINC000000089245,-6.4,0
 ZINC000000135931,-6.4,0
 ZINC000000151286,-6.4,0
 ZINC000000176330,-6.4,0
 ZINC000000178171,-6.4,0
 ZINC000000187430,-6.4,0
 ZINC000000217346,-6.4,0
 ZINC000000256636,-6.4,0
 ZINC000000280208,-6.4,0
 ZINC000000338136,-6.4,0
 active_7e,-6.3,1
 ZINC000000000694,-6.3,0
 ZINC000000001968,-6.3,0
 ZINC000000005319,-6.3,0
 ZINC000000008332,-6.3,0
 ZINC000000010490,-6.3,0
 ZINC000000011213,-6.3,0
 ZINC000000015557,-6.3,0
 ZINC000000083358,-6.3,0
 ZINC000000084443,-6.3,0
 ZINC000000091469,-6.3,0
 ZINC000000110452,-6.3,0
 ZINC000000139953,-6.3,0
 ZINC000000140798,-6.3,0
 ZINC000000153848,-6.3,0
 ZINC000000198578,-6.3,0
 ZINC000000211785,-6.3,0
 ZINC000000254767,-6.3,0
 ZINC000000285086,-6.3,0
 ZINC000000006387,-6.2,0
 ZINC000000022706,-6.2,0
 ZINC000000031566,-6.2,0
 ZINC000000038157,-6.2,0
 ZINC000000084258,-6.2,0
