Time,MPXV E8_CS-E,MPXV E8_Nilotinib,MPXV E8_Irinotecan,MPXV E8_Diosmin,MPXV E8_Conivaptan,MPXV E8_Olmutinib,MPXV E8_Glisolamide,MPXV E8_FAD,MPXV E8_ZINC003821234,MPXV E8_Novobiocin,MPXV E8_Voacamine,MPXV E8_Cabozatinib,,,,,,,,,,,,,
10.65,0.1120507,0.1220532,0.1213588,0.1134552,0.1375724,0.1015409,0.1448215,0.1217985,0.12426,0.0954019,0.129961,0.102483,,,,,,,,,,,,,
10.66,0.1152224,0.1219894,0.1134723,0.1000765,0.1320862,0.1072792,0.1467553,0.1223277,0.1383005,0.1008893,0.1178033,0.11528,,,,,,,,,,,,,
10.67,0.1087532,0.1190934,0.1125122,0.1024966,0.1304398,0.1067016,0.1394902,0.1141751,0.1328898,0.1087282,0.128204,0.0974913,,,,,,,,,,,,,
10.68,0.1022297,0.1154819,0.1103379,0.0976021,0.1228167,0.098402,0.1354861,0.1105815,0.123548,0.0919486,0.1218094,0.0962008,,,,,,,,,,,,,
10.69,0.1078341,0.1115097,0.1051567,0.1141284,0.1213837,0.0993322,0.1374597,0.1064612,0.1235923,0.0897142,0.1242424,0.1059192,,,,,,,,,,,,,
10.7,0.10609,0.1248398,0.1126392,0.1073029,0.1143122,0.0969416,0.1405883,0.1121398,0.1221559,0.0868137,0.1193638,0.1098698,,,,,,,,,,,,,
10.71,0.1028431,0.1279778,0.104975,0.1005544,0.1087577,0.1075836,0.1326879,0.1076349,0.1223778,0.0975289,0.1206881,0.1103825,,,,,,,,,,,,,
10.72,0.1164074,0.1258091,0.1104712,0.1060845,0.1140781,0.1094398,0.1390123,0.1014744,0.1244723,0.0920586,0.11466,0.1196452,,,,,,,,,,,,,
10.73,0.1134064,0.1262274,0.1118734,0.1070395,0.1142099,0.1087778,0.1380185,0.1145816,0.1318346,0.0916191,0.1323244,0.1093488,,,,,,,,,,,,,
10.74,0.1242501,0.1178118,0.1048922,0.1053292,0.1128093,0.0997863,0.138356,0.1064396,0.1305284,0.0837737,0.1300503,0.1066924,,,,,,,,,,,,,
10.75,0.1051098,0.1189602,0.1070315,0.1098741,0.1171385,0.1066358,0.1440878,0.1158023,0.1273706,0.0959748,0.1123829,0.0974238,,,,,,,,,,,,,
10.76,0.0993146,0.1103231,0.1118138,0.1117012,0.1155006,0.1022684,0.1446175,0.1186422,0.1228032,0.0959285,0.1316683,0.0958903,,,,,,,,,,,,,
10.77,0.1090069,0.1067567,0.1058343,0.1117368,0.1166882,0.0923604,0.1384155,0.1068435,0.1141851,0.1099931,0.1331277,0.0984857,,,,,,,,,,,,,
10.78,0.111747,0.1137159,0.1199922,0.1148449,0.1226321,0.0941672,0.1462045,0.106106,0.109529,0.0946205,0.1277117,0.1024457,,,,,,,,,,,,,
10.79,0.1050812,0.1025372,0.1252566,0.1206969,0.1198459,0.088862,0.1442434,0.1112393,0.1212658,0.099013,0.119162,0.0907492,,,,,,,,,,,,,
10.8,0.1078627,0.1210428,0.1150549,0.1119209,0.1264286,0.0950626,0.1370081,0.1092434,0.116087,0.1016485,0.121543,0.0974348,,,,,,,,,,,,,
10.81,0.11105,0.1165454,0.1254225,0.1046604,0.1212297,0.0987779,0.142909,0.1077715,0.1073207,0.0935068,0.1176042,0.1065113,,,,,,,,,,,,,
10.82,0.1109775,0.114802,0.1249762,0.1033334,0.1142971,0.0976854,0.1446203,0.1090467,0.125102,0.0974659,0.1294764,0.119605,,,,,,,,,,,,,
10.83,0.1109436,0.123596,0.1150059,0.1148839,0.1176289,0.0932999,0.1463915,0.1213585,0.1267252,0.0886244,0.1293942,0.1131815,,,,,,,,,,,,,
10.84,0.11793,0.1104048,0.1164373,0.1124507,0.1305964,0.0955708,0.136621,0.1139409,0.119351,0.0847226,0.1289862,0.119376,,,,,,,,,,,,,
10.85,0.1218026,0.1124682,0.1219657,0.1027328,0.1455917,0.1082871,0.1391476,0.1096221,0.1196141,0.0943969,0.1475701,0.1192757,,,,,,,,,,,,,
10.86,0.1109537,0.1133768,0.1155412,0.0975358,0.1330937,0.0993455,0.1307941,0.1104783,0.124639,0.0831947,0.1519655,0.124694,,,,,,,,,,,,,
10.87,0.107169,0.1114269,0.1106219,0.0953224,0.1305713,0.103031,0.1317183,0.1209077,0.1226248,0.1041219,0.1422296,0.1172609,,,,,,,,,,,,,
10.88,0.1178108,0.1247166,0.1203735,0.105184,0.1259029,0.1054436,0.1368034,0.1272974,0.1209173,0.1030757,0.1369019,0.1143177,,,,,,,,,,,,,
10.89,0.1234985,0.1213033,0.1191685,0.1083065,0.1210895,0.1028789,0.145739,0.136925,0.1159264,0.1040951,0.1367848,0.1085319,,,,,,,,,,,,,
10.9,0.1130913,0.1267557,0.110184,0.1127677,0.1157252,0.0887346,0.1371271,0.1184344,0.118986,0.1109074,0.1396537,0.1027958,,,,,,,,,,,,,
10.91,0.1244761,0.1244706,0.1114837,0.1054415,0.1176151,0.0912711,0.1359952,0.1174365,0.1201316,0.1022862,0.1366927,0.1189529,,,,,,,,,,,,,
10.92,0.1207992,0.1138252,0.1136501,0.1055446,0.1254598,0.0935631,0.1329131,0.1072435,0.1197001,0.1128547,0.1337404,0.105479,,,,,,,,,,,,,
10.93,0.1120713,0.1312989,0.1133741,0.1113418,0.1203022,0.0987617,0.12733,0.0960656,0.1138113,0.1134417,0.128586,0.1141928,,,,,,,,,,,,,
10.94,0.1128903,0.1251483,0.1093423,0.111615,0.1266133,0.1034505,0.1360267,0.109253,0.0998779,0.109956,0.1239603,0.1111053,,,,,,,,,,,,,
10.95,0.1092996,0.1289352,0.1102133,0.1051914,0.1245861,0.0934727,0.1439489,0.1238786,0.1094888,0.1028257,0.127797,0.1209699,,,,,,,,,,,,,
10.96,0.1181613,0.123066,0.1180186,0.1077534,0.1229627,0.1015412,0.1365577,0.1210625,0.1102825,0.0928308,0.1212713,0.1199488,,,,,,,,,,,,,
10.97,0.1412488,0.1177657,0.1103919,0.1170528,0.1126594,0.1119217,0.1362968,0.1188599,0.1120527,0.0939465,0.1211698,0.1167856,,,,,,,,,,,,,
10.98,0.1099368,0.1205761,0.1082112,0.1055591,0.1251923,0.1088317,0.1342437,0.1251066,0.1205967,0.0972301,0.1239543,0.1234888,,,,,,,,,,,,,
10.99,0.1213025,0.1117494,0.1193387,0.1103564,0.1135151,0.1169577,0.1317696,0.1227266,0.110776,0.0897,0.1270527,0.1061564,,,,,,,,,,,,,
11,0.1054688,0.1008019,0.1222445,0.095918,0.111745,0.0972633,0.1442844,0.1097337,0.1073799,0.0925756,0.149587,0.1056674,,,,,,,,,,,,,
11.01,0.1203415,0.1087604,0.1136905,0.0965623,0.1092206,0.1136881,0.1432342,0.1141657,0.115141,0.0912034,0.1500854,0.123678,,,,,,,,,,,,,
11.02,0.1191003,0.1053214,0.114526,0.1002492,0.1137014,0.1082189,0.1335834,0.1092105,0.1134001,0.0962534,0.1306138,0.1071143,,,,,,,,,,,,,
11.03,0.1148237,0.107005,0.1186821,0.0993421,0.1094465,0.1024241,0.1358874,0.1014126,0.1074201,0.0972172,0.1370642,0.1099201,,,,,,,,,,,,,
11.04,0.1213829,0.1052704,0.1284801,0.1012985,0.106469,0.109828,0.1374593,0.1162357,0.1143834,0.0905607,0.1331114,0.1189775,,,,,,,,,,,,,
11.05,0.1218868,0.1154949,0.1185827,0.1068519,0.1124369,0.1110772,0.1345378,0.1184854,0.1199171,0.0947715,0.1370528,0.1177932,,,,,,,,,,,,,
11.06,0.12597,0.1106159,0.1114359,0.1010196,0.1145969,0.1046828,0.1368374,0.1154113,0.1142002,0.1039071,0.1281756,0.1175294,,,,,,,,,,,,,
11.07,0.1371546,0.1243313,0.1243427,0.1057624,0.103957,0.1038389,0.1356986,0.1090476,0.1055413,0.0971596,0.1392655,0.1075512,,,,,,,,,,,,,
11.08,0.1247675,0.1074457,0.1056207,0.1090018,0.1018168,0.1054583,0.1386616,0.1142449,0.1216127,0.0958515,0.1251784,0.1109148,,,,,,,,,,,,,
11.09,0.119579,0.1088833,0.1085872,0.1077706,0.1114061,0.1111942,0.1401906,0.1075094,0.1165615,0.096131,0.127138,0.1203144,,,,,,,,,,,,,
11.1,0.1127129,0.1199879,0.108986,0.1099707,0.1026802,0.1043818,0.1333242,0.1199293,0.1176482,0.0922008,0.1331939,0.1163993,,,,,,,,,,,,,
11.11,0.1219684,0.1076029,0.1231141,0.1104314,0.1101187,0.1082743,0.1309285,0.1077093,0.1151974,0.1006023,0.1288987,0.1089021,,,,,,,,,,,,,
11.12,0.1028974,0.1133198,0.1142853,0.0995496,0.1211389,0.1096327,0.13653,0.109559,0.1205882,0.1106187,0.1319797,0.1119581,,,,,,,,,,,,,
11.13,0.1017915,0.1111849,0.1155572,0.1166684,0.1025437,0.1045356,0.1331911,0.1176746,0.115091,0.101958,0.1195611,0.1094784,,,,,,,,,,,,,
11.14,0.1047973,0.0954657,0.1187788,0.1154574,0.1156297,0.0962527,0.1411796,0.1103223,0.1213881,0.130508,0.1303718,0.1182373,,,,,,,,,,,,,
11.15,0.1162087,0.1006095,0.1091197,0.1105008,0.1059663,0.0987368,0.1393432,0.1055396,0.1299204,0.1100194,0.1313269,0.1212933,,,,,,,,,,,,,
11.16,0.0969474,0.1099609,0.1165979,0.1050439,0.1113865,0.1030852,0.1438333,0.1210277,0.1184596,0.0954054,0.1277829,0.1102194,,,,,,,,,,,,,
11.17,0.1154466,0.1052344,0.1249889,0.0989347,0.1167716,0.1018711,0.1515022,0.1141782,0.1245511,0.0942624,0.1323588,0.1059202,,,,,,,,,,,,,
11.18,0.1091941,0.1145263,0.1252304,0.1121483,0.1143939,0.0986343,0.137381,0.109986,0.1198156,0.0915556,0.1379179,0.1111898,,,,,,,,,,,,,
11.19,0.1157769,0.1110128,0.1120171,0.1003167,0.1218231,0.1006826,0.1355869,0.1094572,0.1112629,0.0879688,0.1375573,0.1085067,,,,,,,,,,,,,
11.2,0.1146507,0.1112507,0.1211842,0.1021039,0.1308266,0.0950522,0.137584,0.1093253,0.1152254,0.0916602,0.1392649,0.1218854,,,,,,,,,,,,,
11.21,0.1216329,0.1106651,0.1249114,0.1017263,0.1240512,0.0956081,0.1444032,0.1093078,0.1100422,0.0854515,0.1368093,0.1149571,,,,,,,,,,,,,
11.22,0.1047422,0.1171937,0.1160556,0.1021849,0.1216576,0.1055474,0.140655,0.1057359,0.112511,0.0921959,0.1202417,0.1133947,,,,,,,,,,,,,
11.23,0.1114827,0.1038636,0.1155869,0.1033346,0.1205492,0.0944494,0.1351083,0.1071351,0.1146194,0.084454,0.1196219,0.1152421,,,,,,,,,,,,,
11.24,0.1073737,0.1070657,0.1255462,0.110904,0.1150122,0.0978056,0.1313005,0.0973183,0.1112118,0.0843364,0.1309521,0.1043494,,,,,,,,,,,,,
11.25,0.1013027,0.1116491,0.1174988,0.1025223,0.121068,0.0904033,0.1366584,0.1086676,0.1135894,0.1003268,0.125239,0.107481,,,,,,,,,,,,,
11.26,0.1078023,0.1085159,0.1143212,0.1053852,0.1117595,0.0970908,0.142649,0.1028704,0.117763,0.0902453,0.1182652,0.106123,,,,,,,,,,,,,
11.27,0.1014589,0.1086101,0.1219475,0.1118823,0.1126911,0.0940267,0.1344961,0.1008388,0.1159721,0.0898454,0.1196411,0.1025276,,,,,,,,,,,,,
11.28,0.1013618,0.1108665,0.1190764,0.1086248,0.1126623,0.0986262,0.1392761,0.1017437,0.1106194,0.099322,0.1334506,0.1119676,,,,,,,,,,,,,
11.29,0.1047957,0.1076728,0.1131622,0.1075907,0.1196141,0.0972907,0.1387841,0.103229,0.1157149,0.0974514,0.1225505,0.1193005,,,,,,,,,,,,,
11.3,0.1056376,0.1066202,0.114504,0.1214569,0.1201113,0.1031786,0.146585,0.1040889,0.1230371,0.1071367,0.1244884,0.1157594,,,,,,,,,,,,,
11.31,0.1073701,0.1059994,0.1155495,0.1180133,0.1105348,0.1072849,0.1445918,0.094266,0.1194641,0.1048124,0.1436278,0.1093526,,,,,,,,,,,,,
11.32,0.1058403,0.1160712,0.118734,0.0997067,0.1220959,0.0992801,0.1552142,0.118405,0.1201488,0.0947426,0.1342339,0.1018086,,,,,,,,,,,,,
11.33,0.11178,0.09996,0.1193016,0.0994571,0.1155695,0.1024746,0.1590755,0.1066949,0.1187613,0.0911524,0.142924,0.1032761,,,,,,,,,,,,,
11.34,0.1132046,0.1023062,0.1121006,0.1066137,0.1140818,0.1091331,0.1543521,0.1153865,0.111458,0.0985405,0.1332192,0.0972571,,,,,,,,,,,,,
11.35,0.1073066,0.1143119,0.1150748,0.1032132,0.108201,0.1081614,0.1525563,0.1105588,0.1107896,0.096989,0.1216028,0.1087733,,,,,,,,,,,,,
11.36,0.1077862,0.1090527,0.1159746,0.1055929,0.1043172,0.1214077,0.1411691,0.1202539,0.1170373,0.1064592,0.1414747,0.1058336,,,,,,,,,,,,,
11.37,0.1156968,0.1000705,0.1132662,0.1047108,0.1103019,0.1244733,0.1536878,0.1113881,0.1222427,0.1056633,0.130898,0.1077156,,,,,,,,,,,,,
11.38,0.1237386,0.0978389,0.109635,0.1098194,0.1082912,0.1090475,0.1543511,0.1116471,0.1189522,0.1032464,0.1372847,0.1007649,,,,,,,,,,,,,
11.39,0.1059069,0.1131445,0.1137945,0.1050819,0.1011869,0.1033536,0.1464894,0.1017586,0.1088864,0.0991338,0.1331753,0.1034439,,,,,,,,,,,,,
11.4,0.110812,0.1086874,0.1080997,0.1078524,0.0987685,0.0968927,0.147191,0.1130111,0.1129443,0.0969047,0.1242227,0.1047688,,,,,,,,,,,,,
11.41,0.103479,0.1063548,0.1163493,0.1045376,0.1053923,0.1002554,0.1514164,0.1096726,0.1082447,0.1047412,0.1350811,0.1084339,,,,,,,,,,,,,
11.42,0.1030873,0.1166226,0.1117092,0.1098281,0.1097141,0.1032773,0.1523493,0.1144189,0.1119051,0.1078782,0.1243572,0.1028238,,,,,,,,,,,,,
11.43,0.0968296,0.1120816,0.1170929,0.1213066,0.1179641,0.1078884,0.1613072,0.1272911,0.118476,0.1077294,0.1260361,0.1166341,,,,,,,,,,,,,
11.44,0.0960409,0.1015576,0.1178555,0.1067834,0.1140348,0.0936048,0.1532654,0.1056117,0.117034,0.0980615,0.1236427,0.1167415,,,,,,,,,,,,,
11.45,0.1022624,0.1089121,0.118705,0.1104672,0.1126883,0.1100838,0.1433078,0.1032293,0.1156087,0.0927261,0.1216218,0.1167899,,,,,,,,,,,,,
11.46,0.1033901,0.1160244,0.1091317,0.1093353,0.1094622,0.1030975,0.1401482,0.1114106,0.1011409,0.0971987,0.1228389,0.1068691,,,,,,,,,,,,,
11.47,0.1117786,0.1143874,0.1046619,0.1122925,0.1140948,0.0995539,0.1367286,0.1147759,0.103095,0.0944319,0.1189752,0.1083046,,,,,,,,,,,,,
11.48,0.1031894,0.106193,0.1032885,0.1087994,0.1209135,0.0993327,0.1475831,0.1142222,0.1093315,0.1040811,0.1246947,0.1062886,,,,,,,,,,,,,
11.49,0.1024609,0.111597,0.1066924,0.1101486,0.1199216,0.0986791,0.134287,0.1159847,0.108248,0.1134243,0.1185206,0.1002617,,,,,,,,,,,,,
11.5,0.1145792,0.1229529,0.0999937,0.1006381,0.1181225,0.0964178,0.1336994,0.1102346,0.1059241,0.1096918,0.1180947,0.0923106,,,,,,,,,,,,,
11.51,0.1105219,0.1203115,0.1120761,0.1083724,0.1279937,0.1050389,0.1392985,0.1235054,0.0997193,0.1050005,0.1154519,0.1065361,,,,,,,,,,,,,
11.52,0.1143572,0.1088761,0.1083154,0.1152337,0.1146601,0.1024722,0.1435721,0.1162885,0.1087439,0.1106052,0.1314922,0.1003943,,,,,,,,,,,,,
11.53,0.1074513,0.1038029,0.1051648,0.1126871,0.1190139,0.1149218,0.1317202,0.104698,0.116828,0.1001583,0.1353444,0.1149908,,,,,,,,,,,,,
11.54,0.1119026,0.101238,0.1095239,0.1088503,0.1219063,0.1038892,0.1303176,0.1057766,0.1202426,0.0978907,0.1395368,0.0970298,,,,,,,,,,,,,
11.55,0.104352,0.1062694,0.1108625,0.1051547,0.1204773,0.105413,0.1442156,0.1115833,0.1219541,0.1029274,0.134743,0.1122133,,,,,,,,,,,,,
11.56,0.0993967,0.1101382,0.1094297,0.1111458,0.1215909,0.1213571,0.1290427,0.1038634,0.1042915,0.0981989,0.1486243,0.1113414,,,,,,,,,,,,,
11.57,0.1095996,0.1219133,0.1072349,0.1046199,0.1232692,0.1179541,0.1294882,0.1227607,0.1082871,0.1059281,0.1625639,0.1115182,,,,,,,,,,,,,
11.58,0.1176142,0.1141818,0.1022295,0.113603,0.1309286,0.1161558,0.1386231,0.1062823,0.1155548,0.1018257,0.1565572,0.1009564,,,,,,,,,,,,,
11.59,0.1120619,0.1127472,0.1024197,0.116217,0.1235691,0.1067171,0.1380205,0.1129646,0.1045545,0.0997641,0.1352607,0.107602,,,,,,,,,,,,,
11.6,0.1188222,0.1166098,0.104988,0.121012,0.1116528,0.118538,0.1360393,0.1186581,0.1085399,0.1085484,0.1289781,0.1001674,,,,,,,,,,,,,
11.61,0.1095178,0.104669,0.1082425,0.1125994,0.1104426,0.1124064,0.1418675,0.1227009,0.1038188,0.1037128,0.1382978,0.1168075,,,,,,,,,,,,,
11.62,0.1056859,0.098229,0.1159428,0.1070813,0.1082088,0.1172888,0.1494763,0.1051017,0.104196,0.1001315,0.141772,0.1046037,,,,,,,,,,,,,
11.63,0.1096842,0.0943447,0.1151521,0.1073667,0.1222163,0.1095171,0.1384889,0.1086406,0.1065825,0.0999014,0.1552623,0.1058887,,,,,,,,,,,,,
11.64,0.112161,0.1070314,0.1039771,0.112732,0.1245138,0.1172901,0.1547559,0.1028903,0.103584,0.0982146,0.150823,0.0981514,,,,,,,,,,,,,
11.65,0.0970814,0.1047598,0.1067849,0.0967512,0.1058294,0.1075277,0.1495471,0.1154598,0.1114164,0.1029316,0.1560204,0.1063778,,,,,,,,,,,,,
11.66,0.1085298,0.1093667,0.1091773,0.097323,0.1071356,0.1218806,0.1494228,0.1104785,0.1043052,0.1004871,0.1457856,0.1077081,,,,,,,,,,,,,
11.67,0.1142479,0.111111,0.1190378,0.0939228,0.1058799,0.1118596,0.1451926,0.1023093,0.1120901,0.0962227,0.1311172,0.106226,,,,,,,,,,,,,
11.68,0.1072454,0.0934819,0.1057791,0.1098022,0.1057943,0.1140139,0.1542875,0.1017338,0.1055032,0.0979043,0.1340845,0.1084142,,,,,,,,,,,,,
11.69,0.1125543,0.1132586,0.1019801,0.1102977,0.1119721,0.1401886,0.1435946,0.1094986,0.1120678,0.0989876,0.1436765,0.0970285,,,,,,,,,,,,,
11.7,0.1014085,0.1011474,0.104779,0.1118045,0.1141051,0.126241,0.1511785,0.1142242,0.1199117,0.0977002,0.1613523,0.0928182,,,,,,,,,,,,,
11.71,0.0918125,0.112431,0.1181078,0.1260868,0.106565,0.1130024,0.1477922,0.110262,0.1184232,0.1014036,0.1541891,0.115365,,,,,,,,,,,,,
11.72,0.098601,0.1209361,0.1101217,0.1122021,0.1235479,0.1185469,0.1424248,0.0953096,0.119814,0.1179525,0.1329551,0.1103223,,,,,,,,,,,,,
11.73,0.1095394,0.1163517,0.1105954,0.1187091,0.1203143,0.1132811,0.1420134,0.1055383,0.1143092,0.1052336,0.1376554,0.1096752,,,,,,,,,,,,,
11.74,0.1037933,0.0969187,0.112798,0.1194215,0.1125931,0.1205365,0.1402718,0.1057577,0.1153912,0.0975727,0.1272904,0.1067938,,,,,,,,,,,,,
11.75,0.1006692,0.1077854,0.1085488,0.1117056,0.1119258,0.1212982,0.1537273,0.1014207,0.1214324,0.0928066,0.1363107,0.1078599,,,,,,,,,,,,,
11.76,0.1035567,0.1134362,0.1054863,0.1124201,0.1133688,0.116575,0.148275,0.1026827,0.1170123,0.0945097,0.1335851,0.1054378,,,,,,,,,,,,,
11.77,0.1057681,0.1045452,0.115533,0.1228205,0.1043521,0.1165949,0.1632835,0.10886,0.1082811,0.0915735,0.1370364,0.1026868,,,,,,,,,,,,,
11.78,0.1049514,0.1091297,0.1119507,0.1143039,0.0965416,0.1272976,0.149423,0.0994642,0.1157103,0.1011096,0.1317165,0.105467,,,,,,,,,,,,,
11.79,0.0932206,0.1045796,0.1119409,0.1052815,0.1059056,0.1218229,0.1430829,0.1051319,0.1119499,0.1010013,0.1299301,0.1155883,,,,,,,,,,,,,
11.8,0.0934572,0.1031203,0.1158238,0.105374,0.1094588,0.1218284,0.1406545,0.1021736,0.1195666,0.1067537,0.1234836,0.108595,,,,,,,,,,,,,
11.81,0.0996289,0.1065299,0.1080966,0.1063925,0.1058503,0.1350872,0.1426112,0.105383,0.111403,0.1040023,0.1223362,0.1107644,,,,,,,,,,,,,
11.82,0.099027,0.1086339,0.114333,0.1168413,0.1136929,0.128359,0.1449471,0.1114437,0.1107275,0.0987338,0.1258707,0.0977953,,,,,,,,,,,,,
11.83,0.0985286,0.1108985,0.099828,0.1222656,0.1252261,0.1236664,0.1442502,0.1182297,0.1100543,0.1022621,0.1119794,0.1088551,,,,,,,,,,,,,
11.84,0.1062009,0.1154039,0.0977144,0.1049641,0.1176161,0.1204053,0.1393629,0.1157133,0.1066051,0.10362,0.1253383,0.1022571,,,,,,,,,,,,,
11.85,0.0928839,0.1104234,0.1081998,0.114636,0.1267166,0.1376975,0.1513995,0.1087341,0.1092129,0.111547,0.1118958,0.104343,,,,,,,,,,,,,
11.86,0.1013086,0.1087224,0.1175815,0.118333,0.1220068,0.117338,0.1390919,0.1091747,0.1084954,0.112908,0.12804,0.1102416,,,,,,,,,,,,,
11.87,0.1017571,0.1084471,0.1153073,0.1024749,0.1101572,0.1051628,0.1411252,0.1003183,0.1136035,0.1056907,0.1241301,0.1088695,,,,,,,,,,,,,
11.88,0.101252,0.1025573,0.1113448,0.1082431,0.1173405,0.1202983,0.1451261,0.0967599,0.1030483,0.1101324,0.120774,0.1072801,,,,,,,,,,,,,
11.89,0.1026075,0.1148496,0.1092728,0.1083687,0.108169,0.1147855,0.1506246,0.0968255,0.1183931,0.1098422,0.127183,0.1179714,,,,,,,,,,,,,
11.9,0.1042727,0.1183132,0.102177,0.1092473,0.1044076,0.1024231,0.1476234,0.0965852,0.1056288,0.1071556,0.1252766,0.1194961,,,,,,,,,,,,,
11.91,0.1082421,0.1061897,0.102553,0.1091751,0.0970113,0.1126786,0.1534311,0.1095025,0.1044478,0.1003173,0.1193306,0.1187958,,,,,,,,,,,,,
11.92,0.1023528,0.105609,0.1126513,0.1093403,0.101036,0.0960115,0.1468146,0.1136027,0.1054283,0.1050786,0.1258735,0.1166212,,,,,,,,,,,,,
11.93,0.0980317,0.1245767,0.1109053,0.1058768,0.1047886,0.1069883,0.1423482,0.1138958,0.1050053,0.0954191,0.1267084,0.1085487,,,,,,,,,,,,,
11.94,0.1050191,0.1243306,0.1113222,0.1127874,0.1029786,0.1123502,0.1400602,0.1040669,0.1153322,0.0886748,0.1121177,0.1242993,,,,,,,,,,,,,
11.95,0.1046619,0.1182973,0.1188372,0.1128132,0.1094369,0.1083559,0.142861,0.1089491,0.1128444,0.0895592,0.1190415,0.1173372,,,,,,,,,,,,,
11.96,0.1049324,0.1247081,0.1156318,0.1127454,0.1183434,0.1130594,0.1437306,0.1210233,0.1033517,0.088951,0.1144672,0.1172685,,,,,,,,,,,,,
11.97,0.1076613,0.124466,0.1102158,0.1175954,0.1160733,0.1083499,0.1483848,0.1246432,0.1064286,0.0893934,0.1013297,0.1067437,,,,,,,,,,,,,
11.98,0.1045678,0.1166626,0.1110706,0.1142756,0.1242162,0.1057705,0.1450689,0.109559,0.109586,0.0939975,0.1115461,0.1094978,,,,,,,,,,,,,
11.99,0.1042393,0.1255249,0.1122546,0.1125307,0.1138416,0.1115684,0.1380676,0.102184,0.1192539,0.0994422,0.1074893,0.1206403,,,,,,,,,,,,,
12,0.1030765,0.1193922,0.1040829,0.1138025,0.1169143,0.1196813,0.1430522,0.1069858,0.1030218,0.1026321,0.1141477,0.1124616,,,,,,,,,,,,,
12.01,0.110356,0.1285394,0.0995205,0.1194763,0.1152544,0.1182833,0.1428709,0.096793,0.1084459,0.1060811,0.1115045,0.1091682,,,,,,,,,,,,,
12.02,0.1060829,0.1325428,0.1030379,0.1254542,0.1164069,0.1275313,0.1419224,0.1139069,0.1025145,0.1096195,0.1208731,0.1039706,,,,,,,,,,,,,
12.03,0.1112184,0.1402794,0.1023958,0.1136062,0.108429,0.1276044,0.1484006,0.1061111,0.0980876,0.1014462,0.1231142,0.1100142,,,,,,,,,,,,,
12.04,0.1099837,0.1248711,0.108873,0.1068684,0.1115794,0.1126557,0.1497485,0.0972063,0.0953722,0.1029935,0.1216908,0.1015533,,,,,,,,,,,,,
12.05,0.1187725,0.1189237,0.1099468,0.110089,0.1225167,0.1108653,0.1432261,0.1070715,0.0995195,0.0966036,0.1189889,0.0942123,,,,,,,,,,,,,
12.06,0.1078692,0.1164864,0.109418,0.1153899,0.1103794,0.1084514,0.1518066,0.1053382,0.1013912,0.0873552,0.1240135,0.0935569,,,,,,,,,,,,,
12.07,0.1090593,0.1146889,0.100518,0.1024471,0.1040663,0.1146853,0.1482451,0.1038893,0.0974236,0.0993039,0.1180444,0.092588,,,,,,,,,,,,,
12.08,0.1016312,0.1109981,0.0959577,0.115098,0.1043075,0.1114197,0.1386711,0.1064262,0.1091306,0.1031187,0.1098995,0.0913016,,,,,,,,,,,,,
12.09,0.1085025,0.1143397,0.0998678,0.1135327,0.1094839,0.1235145,0.1375613,0.1129358,0.1042701,0.1006279,0.1231102,0.0985601,,,,,,,,,,,,,
12.1,0.1079504,0.1058601,0.1056863,0.1097909,0.1110339,0.1123136,0.1348548,0.1043715,0.0976608,0.1050223,0.1144735,0.0986997,,,,,,,,,,,,,
12.11,0.1236997,0.1069124,0.103565,0.1120237,0.102768,0.1085308,0.1413181,0.096353,0.0897831,0.0983203,0.1264528,0.1097945,,,,,,,,,,,,,
12.12,0.1121322,0.1041827,0.1025753,0.1088108,0.1073129,0.1103805,0.1424871,0.1077716,0.0879961,0.0981189,0.1075894,0.10397,,,,,,,,,,,,,
12.13,0.1057268,0.1043454,0.1132725,0.1121441,0.1153341,0.1002978,0.1408085,0.1120642,0.0932798,0.1000362,0.116525,0.1127621,,,,,,,,,,,,,
12.14,0.1033914,0.111162,0.1072984,0.1060804,0.1124544,0.105279,0.151874,0.1100278,0.0924361,0.1113707,0.1130496,0.1152703,,,,,,,,,,,,,
12.15,0.1054842,0.1050544,0.1011588,0.1146937,0.1190539,0.1175545,0.149618,0.1034151,0.1001323,0.1105319,0.10943,0.115122,,,,,,,,,,,,,
12.16,0.1070448,0.1042525,0.1003156,0.1152764,0.108477,0.0964108,0.1466634,0.1132812,0.111306,0.101531,0.1147492,0.1147523,,,,,,,,,,,,,
12.17,0.1165328,0.1139091,0.1056168,0.1208423,0.1102805,0.0964353,0.1533819,0.104619,0.1012161,0.1033692,0.1205342,0.1028163,,,,,,,,,,,,,
12.18,0.1155746,0.1048796,0.1089667,0.1088234,0.1077782,0.1000306,0.1493515,0.11523,0.0962058,0.1059875,0.1076211,0.1049038,,,,,,,,,,,,,
12.19,0.1018759,0.109095,0.1176351,0.1187032,0.1107826,0.108716,0.1490427,0.1069275,0.102114,0.098526,0.1090617,0.1123533,,,,,,,,,,,,,
12.2,0.1080304,0.1026704,0.1074493,0.1081118,0.1189148,0.0994969,0.1418967,0.1097656,0.0991046,0.0947649,0.111581,0.1210683,,,,,,,,,,,,,
12.21,0.103089,0.1120256,0.1027012,0.125165,0.1307104,0.102156,0.1449874,0.1025679,0.1002795,0.1106852,0.1289029,0.1177278,,,,,,,,,,,,,
