Time,MPXV E8_CS-E,MPXV E8_Nilotinib,MPXV E8_Irinotecan,MPXV E8_Diosmin,MPXV E8_Conivaptan,MPXV E8_Olmutinib,MPXV E8_Glisolamide,MPXV E8_FAD,MPXV E8_ZINC003821234,MPXV E8_Novobiocin,MPXV E8_Voacamine,MPXV E8_Cabozatinib,,,,,,,,,,,,,
0.31,0.1067034,0.1004946,0.0893073,0.0944686,0.0777483,0.10024,0.1007168,0.0948911,0.0922161,0.0895734,0.1038664,0.0766556,,,,,,,,,,,,,
0.32,0.0918773,0.0898224,0.0911144,0.1060435,0.0861066,0.0987119,0.083548,0.0952588,0.0829837,0.0901141,0.1121689,0.0870039,,,,,,,,,,,,,
0.33,0.0898825,0.0852599,0.0787686,0.1007624,0.0869143,0.097786,0.0829059,0.1021055,0.0934686,0.0996133,0.098153,0.0939917,,,,,,,,,,,,,
0.34,0.1115594,0.0943635,0.0897978,0.0929306,0.0943066,0.0983195,0.0947364,0.092553,0.0986704,0.114299,0.0907005,0.0947671,,,,,,,,,,,,,
0.35,0.0964107,0.086293,0.0992798,0.0926231,0.0894404,0.0903666,0.1051875,0.0966992,0.0975111,0.1047402,0.0905154,0.0896019,,,,,,,,,,,,,
0.36,0.1047462,0.1011392,0.0916834,0.0995469,0.0909428,0.0930967,0.1024505,0.1044382,0.0946628,0.1040169,0.0933583,0.0935829,,,,,,,,,,,,,
0.37,0.0914912,0.0968175,0.0868166,0.1001082,0.0928897,0.092552,0.0956026,0.0881744,0.0977294,0.1019067,0.0985644,0.0975834,,,,,,,,,,,,,
0.38,0.1057806,0.1049729,0.0838003,0.103992,0.0820384,0.0936326,0.0944182,0.0836114,0.097543,0.0994457,0.1049764,0.0868925,,,,,,,,,,,,,
0.39,0.095537,0.1130838,0.0893673,0.0992607,0.0842853,0.1071222,0.0888616,0.0998275,0.0921877,0.1018751,0.0898435,0.1008039,,,,,,,,,,,,,
0.4,0.0978201,0.109766,0.0959318,0.1070988,0.0930002,0.092992,0.0873291,0.1022054,0.1080173,0.0918506,0.0942178,0.0973031,,,,,,,,,,,,,
0.41,0.1072066,0.114243,0.094174,0.099339,0.0859345,0.1037864,0.0852555,0.0984034,0.0953952,0.0938303,0.0925392,0.1015273,,,,,,,,,,,,,
0.42,0.1050888,0.1182572,0.0841112,0.0982721,0.0817058,0.1018778,0.086663,0.112905,0.0988304,0.0994702,0.0986657,0.0960145,,,,,,,,,,,,,
0.43,0.1067817,0.1064286,0.090045,0.1056452,0.0813673,0.09542,0.104701,0.0977639,0.0813924,0.1016861,0.1052264,0.0918891,,,,,,,,,,,,,
0.44,0.1083549,0.1071016,0.0794991,0.113185,0.0926264,0.0968759,0.0941863,0.0940115,0.0943713,0.1007952,0.1011297,0.0957394,,,,,,,,,,,,,
0.45,0.1017758,0.1021612,0.0878851,0.1021596,0.090595,0.0945822,0.0818473,0.090105,0.0914618,0.0992697,0.106203,0.0954392,,,,,,,,,,,,,
0.46,0.1014678,0.0998567,0.0939055,0.1094421,0.0862005,0.0989912,0.0913431,0.0878529,0.0993573,0.0944039,0.0920534,0.0893453,,,,,,,,,,,,,
0.47,0.0962048,0.1116365,0.0952024,0.107522,0.085203,0.1000259,0.1055046,0.0943223,0.0994418,0.0988102,0.1057356,0.0906418,,,,,,,,,,,,,
0.48,0.0979799,0.1041327,0.0863105,0.1212399,0.0913971,0.0989522,0.0923588,0.1009877,0.0977489,0.0929138,0.1062254,0.0925675,,,,,,,,,,,,,
0.49,0.1059493,0.0806827,0.0945291,0.106718,0.0901173,0.0912416,0.0881539,0.1115001,0.1009964,0.0889568,0.1060852,0.1050249,,,,,,,,,,,,,
0.5,0.1131797,0.0994004,0.0861954,0.1088408,0.0879417,0.1007993,0.0920236,0.0989425,0.1068606,0.1031262,0.0933771,0.096722,,,,,,,,,,,,,
0.51,0.0956324,0.0976298,0.086149,0.105601,0.0952879,0.0958074,0.0931232,0.0902402,0.1064561,0.1041606,0.0956085,0.1027313,,,,,,,,,,,,,
0.52,0.0928785,0.1042296,0.0949819,0.1041124,0.0945342,0.0930884,0.0921479,0.1016539,0.1171613,0.1005238,0.1058978,0.0878671,,,,,,,,,,,,,
0.53,0.0866724,0.1010736,0.1094974,0.116057,0.101664,0.1126103,0.0898965,0.0958747,0.1014615,0.0983978,0.0936793,0.0935942,,,,,,,,,,,,,
0.54,0.0937572,0.0945267,0.0905602,0.1119194,0.1021604,0.0992514,0.0838572,0.0949259,0.1134115,0.0966981,0.1032527,0.0907643,,,,,,,,,,,,,
0.55,0.0941952,0.1044357,0.090814,0.1169744,0.0904775,0.1002749,0.0910021,0.0994263,0.1346925,0.0940594,0.1094369,0.096901,,,,,,,,,,,,,
0.56,0.0949179,0.0930198,0.1072669,0.1172236,0.0896124,0.110501,0.1013015,0.0969662,0.1197497,0.0856204,0.1020465,0.0983993,,,,,,,,,,,,,
0.57,0.1002984,0.0959293,0.0979889,0.1200996,0.0848035,0.1057975,0.0959964,0.0940404,0.1126691,0.0949533,0.0910896,0.0853198,,,,,,,,,,,,,
0.58,0.0961497,0.0967228,0.1035381,0.1182639,0.0974989,0.1109474,0.1013978,0.0966134,0.1128847,0.0933953,0.0992097,0.0946042,,,,,,,,,,,,,
0.59,0.096567,0.1010519,0.0942174,0.1271257,0.0830661,0.1119061,0.0965267,0.0994727,0.1202908,0.0925104,0.1126124,0.0959722,,,,,,,,,,,,,
0.6,0.0938002,0.1022816,0.0938904,0.1274604,0.0913575,0.1213309,0.0939415,0.1073763,0.1033501,0.0867516,0.1129682,0.091289,,,,,,,,,,,,,
0.61,0.0901544,0.1229262,0.1056329,0.1173377,0.0829009,0.100229,0.1014166,0.0946161,0.0989399,0.0902274,0.1117257,0.0932534,,,,,,,,,,,,,
0.62,0.0975717,0.1053307,0.0946791,0.1034076,0.0952224,0.1137174,0.1031653,0.1117455,0.1095761,0.0936273,0.1127024,0.0941329,,,,,,,,,,,,,
0.63,0.0878907,0.1072037,0.1020091,0.107656,0.0848041,0.1167705,0.0922668,0.0905927,0.1100591,0.0938079,0.1043558,0.0942592,,,,,,,,,,,,,
0.64,0.0971943,0.114938,0.0968043,0.1194369,0.0882714,0.1159176,0.0978217,0.102221,0.1119139,0.0880858,0.1008942,0.0913014,,,,,,,,,,,,,
0.65,0.0922409,0.1089616,0.1123285,0.1242964,0.0911023,0.110276,0.1094621,0.1042504,0.1011887,0.0937779,0.1038484,0.0953543,,,,,,,,,,,,,
