name,score
 C201-0777,-8.5
 C201-0779,-8.5
 C201-0787,-8.5
 D305-0472,-8.5
 D573-0279,-8.5
 D718-1261,-8.5
 D718-1262,-8.5
 E856-2905,-8.5
 E856-2951,-8.5
 E856-3035,-8.5
 E856-3113,-8.5
 E856-3224,-8.5
 F305-1755,-8.5
 F362-1754,-8.5
 F426-0236,-8.5
 F426-0336,-8.5
 F426-0351,-8.5
 F426-0385,-8.5
 F448-0016,-8.5
 F448-0034,-8.5
 F448-0111,-8.5
 F448-0116,-8.5
 F448-1012,-8.5
 F633-0454,-8.5
 F633-0504,-8.5
 F633-0843,-8.5
 F633-0847,-8.5
 F633-0893,-8.5
 F633-0897,-8.5
 F633-0928,-8.5
 F633-0970,-8.5
 F633-1006,-8.5
 F681-0006,-8.5
 F681-0109,-8.5
 F681-0551,-8.5
 F681-0599,-8.5
 F699-0070,-8.5
 F699-0694,-8.5
 F699-0848,-8.5
 F699-0905,-8.5
 F710-0449,-8.5
 F720-0806,-8.5
 F720-0845,-8.5
 F720-0901,-8.5
 F720-0962,-8.5
 F720-0964,-8.5
 F828-3140,-8.5
 F891-0041,-8.5
 F894-1809,-8.5
 F899-0157,-8.5
 F899-0192,-8.5
 F899-1641,-8.5
 F899-1694,-8.5
 G282-8326,-8.5
 G373-2718,-8.5
 G373-2720,-8.5
 G430-2779,-8.5
 G430-2914,-8.5
 G430-2933,-8.5
 G430-3126,-8.5
 G639-1217,-8.5
 G639-1261,-8.5
 G639-2070,-8.5
 G639-2085,-8.5
 G717-1284,-8.5
 G781-1710,-8.5
 G795-0253,-8.5
 G868-0250,-8.5
 G907-0381,-8.5
 G907-0510,-8.5
 G907-0519,-8.5
 G907-0564,-8.5
 G907-0917,-8.5
 G907-1166,-8.5
 G907-1325,-8.5
 G907-1336,-8.5
 G907-1353,-8.5
 J009-0253,-8.5
 L249-1006,-8.5
 L249-1025,-8.5
 L249-1034,-8.5
 L249-1103,-8.5
 L249-1110,-8.5
 L249-1144,-8.5
 L249-1169,-8.5
 L249-1191,-8.5
 L249-1540,-8.5
 L249-1574,-8.5
 L249-1589,-8.5
 L249-1602,-8.5
 L249-1664,-8.5
 L249-1668,-8.5
 L249-1694,-8.5
 L249-1704,-8.5
 L251-0128,-8.5
 L251-0248,-8.5
 L251-0294,-8.5
 L251-1075,-8.5
 L251-1138,-8.5
 L251-1217,-8.5
 L325-0234,-8.5
 L325-0340,-8.5
 L325-0383,-8.5
 L325-0388,-8.5
 L325-0389,-8.5
 L325-0486,-8.5
 L325-0532,-8.5
 L325-0537,-8.5
 L326-0027,-8.5
 L326-0036,-8.5
 L326-0091,-8.5
 L326-0636,-8.5
 L326-0682,-8.5
 L413-0098,-8.5
 L413-0101,-8.5
 L413-0364,-8.5
 L413-0433,-8.5
 L426-2341,-8.5
 L470-1087,-8.5
 L567-0281,-8.5
 L678-0073,-8.5
 L678-0113,-8.5
 L678-0117,-8.5
 L678-0271,-8.5
 L703-5518,-8.5
 L703-5722,-8.5
 L707-0073,-8.5
 L707-0811,-8.5
 L707-1265,-8.5
 L711-0176,-8.5
 L711-0503,-8.5
 L711-0863,-8.5
 L740-0355,-8.5
 L827-1797,-8.5
 M136-0032,-8.5
 M136-0181,-8.5
 M136-0284,-8.5
 M136-0319,-8.5
 M136-0357,-8.5
 M136-0555,-8.5
 M136-0757,-8.5
 M976-0693,-8.5
 P321-0099,-8.5
 P321-0156,-8.5
 P321-0271,-8.5
 P321-0344,-8.5
